DATE,UNEMPLOYCA
2004-01-01,1144025.000000000000
2005-01-01,997550.000000000000
2006-01-01,890200.000000000000
2007-01-01,910925.000000000000
2008-01-01,1152600.000000000000
2009-01-01,1814475.000000000000
2010-01-01,2199125.000000000000
2011-01-01,2160050.000000000000
2012-01-01,2011025.000000000000
2013-01-01,1746775.000000000000
2014-01-01,1498000.000000000000
2015-01-01,1251800.000000000000
2016-01-01,1068525.000000000000
2017-01-01,977750.000000000000
2018-01-01,843425.000000000000
2019-01-01,804950.000000000000
2020-01-01,1442575.000000000000
2021-01-01,1684850.000000000000
2022-01-01,966050.000000000000
2023-01-01,850075.000000000000
2024-01-01,.
