DATE,UNEMPLOYCO
2004-01-01,143050.000000000000
2005-01-01,131975.000000000000
2006-01-01,115550.000000000000
2007-01-01,100025.000000000000
2008-01-01,117925.000000000000
2009-01-01,177375.000000000000
2010-01-01,224850.000000000000
2011-01-01,238600.000000000000
2012-01-01,224400.000000000000
2013-01-01,196875.000000000000
2014-01-01,157850.000000000000
2015-01-01,116575.000000000000
2016-01-01,97875.000000000000
2017-01-01,85875.000000000000
2018-01-01,95300.000000000000
2019-01-01,93850.000000000000
2020-01-01,168475.000000000000
2021-01-01,198625.000000000000
2022-01-01,115900.000000000000
2023-01-01,99375.000000000000
2024-01-01,.
