DATE,UNEMPLOYFL
2004-01-01,393550.000000000000
2005-01-01,347500.000000000000
2006-01-01,289225.000000000000
2007-01-01,332175.000000000000
2008-01-01,472975.000000000000
2009-01-01,809850.000000000000
2010-01-01,997275.000000000000
2011-01-01,942950.000000000000
2012-01-01,832675.000000000000
2013-01-01,717900.000000000000
2014-01-01,632625.000000000000
2015-01-01,545225.000000000000
2016-01-01,483700.000000000000
2017-01-01,448425.000000000000
2018-01-01,384050.000000000000
2019-01-01,342125.000000000000
2020-01-01,605275.000000000000
2021-01-01,632250.000000000000
2022-01-01,343350.000000000000
2023-01-01,294600.000000000000
2024-01-01,.
