DATE,UNEMPLOYIA
2004-01-01,73425.000000000000
2005-01-01,76600.000000000000
2006-01-01,64825.000000000000
2007-01-01,60750.000000000000
2008-01-01,63825.000000000000
2009-01-01,95475.000000000000
2010-01-01,105975.000000000000
2011-01-01,96800.000000000000
2012-01-01,87875.000000000000
2013-01-01,81400.000000000000
2014-01-01,79825.000000000000
2015-01-01,66125.000000000000
2016-01-01,67250.000000000000
2017-01-01,57075.000000000000
2018-01-01,46675.000000000000
2019-01-01,44500.000000000000
2020-01-01,76600.000000000000
2021-01-01,74525.000000000000
2022-01-01,47250.000000000000
2023-01-01,49625.000000000000
2024-01-01,.
