DATE,UNEMPLOYIL
2004-01-01,405575.000000000000
2005-01-01,376750.000000000000
2006-01-01,323775.000000000000
2007-01-01,314750.000000000000
2008-01-01,398300.000000000000
2009-01-01,574975.000000000000
2010-01-01,700375.000000000000
2011-01-01,629775.000000000000
2012-01-01,606025.000000000000
2013-01-01,593375.000000000000
2014-01-01,518925.000000000000
2015-01-01,397775.000000000000
2016-01-01,392125.000000000000
2017-01-01,333175.000000000000
2018-01-01,289100.000000000000
2019-01-01,268200.000000000000
2020-01-01,433325.000000000000
2021-01-01,475125.000000000000
2022-01-01,304975.000000000000
2023-01-01,275225.000000000000
2024-01-01,.
