DATE,UNEMPLOYMI
2004-01-01,355425.000000000000
2005-01-01,353500.000000000000
2006-01-01,344875.000000000000
2007-01-01,351675.000000000000
2008-01-01,379625.000000000000
2009-01-01,570300.000000000000
2010-01-01,630475.000000000000
2011-01-01,517175.000000000000
2012-01-01,438275.000000000000
2013-01-01,414100.000000000000
2014-01-01,375725.000000000000
2015-01-01,286500.000000000000
2016-01-01,238325.000000000000
2017-01-01,233475.000000000000
2018-01-01,213850.000000000000
2019-01-01,200675.000000000000
2020-01-01,367050.000000000000
2021-01-01,354325.000000000000
2022-01-01,222275.000000000000
2023-01-01,192125.000000000000
2024-01-01,.
