DATE,UNEMPLOYNC
2004-01-01,245100.000000000000
2005-01-01,225625.000000000000
2006-01-01,208325.000000000000
2007-01-01,210050.000000000000
2008-01-01,245575.000000000000
2009-01-01,415225.000000000000
2010-01-01,485150.000000000000
2011-01-01,480250.000000000000
2012-01-01,444100.000000000000
2013-01-01,407825.000000000000
2014-01-01,309525.000000000000
2015-01-01,278625.000000000000
2016-01-01,257975.000000000000
2017-01-01,228375.000000000000
2018-01-01,201950.000000000000
2019-01-01,200500.000000000000
2020-01-01,286850.000000000000
2021-01-01,283150.000000000000
2022-01-01,200150.000000000000
2023-01-01,176125.000000000000
2024-01-01,.
