DATE,UNEMPLOYNH
2004-01-01,29025.000000000000
2005-01-01,26875.000000000000
2006-01-01,25175.000000000000
2007-01-01,27200.000000000000
2008-01-01,26975.000000000000
2009-01-01,40075.000000000000
2010-01-01,46400.000000000000
2011-01-01,40925.000000000000
2012-01-01,40875.000000000000
2013-01-01,40550.000000000000
2014-01-01,34125.000000000000
2015-01-01,27875.000000000000
2016-01-01,21775.000000000000
2017-01-01,21325.000000000000
2018-01-01,20150.000000000000
2019-01-01,19750.000000000000
2020-01-01,38750.000000000000
2021-01-01,36125.000000000000
2022-01-01,22275.000000000000
2023-01-01,18900.000000000000
2024-01-01,.
