DATE,UNEMPLOYNV
2004-01-01,51725.000000000000
2005-01-01,51425.000000000000
2006-01-01,52375.000000000000
2007-01-01,58225.000000000000
2008-01-01,74450.000000000000
2009-01-01,127325.000000000000
2010-01-01,180750.000000000000
2011-01-01,179825.000000000000
2012-01-01,161100.000000000000
2013-01-01,140300.000000000000
2014-01-01,118300.000000000000
2015-01-01,101575.000000000000
2016-01-01,89525.000000000000
2017-01-01,74600.000000000000
2018-01-01,72050.000000000000
2019-01-01,64775.000000000000
2020-01-01,145525.000000000000
2021-01-01,156725.000000000000
2022-01-01,88100.000000000000
2023-01-01,82800.000000000000
2024-01-01,.
