DATE,UNEMPLOYOH
2004-01-01,361175.000000000000
2005-01-01,362825.000000000000
2006-01-01,324025.000000000000
2007-01-01,333150.000000000000
2008-01-01,359250.000000000000
2009-01-01,527975.000000000000
2010-01-01,612600.000000000000
2011-01-01,530775.000000000000
2012-01-01,445250.000000000000
2013-01-01,420125.000000000000
2014-01-01,363225.000000000000
2015-01-01,293975.000000000000
2016-01-01,278700.000000000000
2017-01-01,291800.000000000000
2018-01-01,264750.000000000000
2019-01-01,243025.000000000000
2020-01-01,393650.000000000000
2021-01-01,356775.000000000000
2022-01-01,241025.000000000000
2023-01-01,208300.000000000000
2024-01-01,.
