DATE,UNEMPLOYOR
2004-01-01,144250.000000000000
2005-01-01,121700.000000000000
2006-01-01,105550.000000000000
2007-01-01,98950.000000000000
2008-01-01,109075.000000000000
2009-01-01,202000.000000000000
2010-01-01,219225.000000000000
2011-01-01,200700.000000000000
2012-01-01,178475.000000000000
2013-01-01,161750.000000000000
2014-01-01,139575.000000000000
2015-01-01,118075.000000000000
2016-01-01,105000.000000000000
2017-01-01,90075.000000000000
2018-01-01,86050.000000000000
2019-01-01,86075.000000000000
2020-01-01,128800.000000000000
2021-01-01,140325.000000000000
2022-01-01,91200.000000000000
2023-01-01,85075.000000000000
2024-01-01,.
