DATE,UNEMPLOYRI
2004-01-01,31050.000000000000
2005-01-01,28625.000000000000
2006-01-01,30275.000000000000
2007-01-01,27800.000000000000
2008-01-01,38100.000000000000
2009-01-01,57350.000000000000
2010-01-01,63900.000000000000
2011-01-01,62275.000000000000
2012-01-01,61575.000000000000
2013-01-01,52800.000000000000
2014-01-01,47550.000000000000
2015-01-01,36050.000000000000
2016-01-01,30450.000000000000
2017-01-01,25600.000000000000
2018-01-01,23950.000000000000
2019-01-01,20550.000000000000
2020-01-01,37800.000000000000
2021-01-01,40975.000000000000
2022-01-01,22750.000000000000
2023-01-01,19650.000000000000
2024-01-01,.
