DATE,UNEMPLOYSD
2004-01-01,15725.000000000000
2005-01-01,18075.000000000000
2006-01-01,14450.000000000000
2007-01-01,13700.000000000000
2008-01-01,12300.0000000000000000
2009-01-01,20000.000000000000
2010-01-01,22150.000000000000
2011-01-01,23175.000000000000
2012-01-01,20100.000000000000
2013-01-01,17700.000000000000
2014-01-01,16275.000000000000
2015-01-01,16250.000000000000
2016-01-01,12650.000000000000
2017-01-01,14900.000000000000
2018-01-01,15225.000000000000
2019-01-01,14225.000000000000
2020-01-01,20450.000000000000
2021-01-01,15425.000000000000
2022-01-01,10425.0000000000000000
2023-01-01,8525.0000000000000000
2024-01-01,.
