DATE,UNEMPLOYTX
2004-01-01,683000.000000000000
2005-01-01,620275.000000000000
2006-01-01,581300.000000000000
2007-01-01,509425.000000000000
2008-01-01,519325.000000000000
2009-01-01,767500.000000000000
2010-01-01,970300.000000000000
2011-01-01,975275.000000000000
2012-01-01,891625.000000000000
2013-01-01,814925.000000000000
2014-01-01,713200.000000000000
2015-01-01,590250.000000000000
2016-01-01,594475.000000000000
2017-01-01,617350.000000000000
2018-01-01,542800.000000000000
2019-01-01,501650.000000000000
2020-01-01,816000.000000000000
2021-01-01,974950.000000000000
2022-01-01,611625.000000000000
2023-01-01,596575.000000000000
2024-01-01,.
