DATE,UNEMPLOYVT
2004-01-01,14175.000000000000
2005-01-01,12350.0000000000000000
2006-01-01,12775.000000000000
2007-01-01,14225.000000000000
2008-01-01,16050.000000000000
2009-01-01,20950.000000000000
2010-01-01,23100.000000000000
2011-01-01,21825.000000000000
2012-01-01,19075.000000000000
2013-01-01,16175.000000000000
2014-01-01,14375.000000000000
2015-01-01,13400.000000000000
2016-01-01,11750.0000000000000000
2017-01-01,10900.0000000000000000
2018-01-01,9900.0000000000000000
2019-01-01,7825.0000000000000000
2020-01-01,15325.000000000000
2021-01-01,14375.000000000000
2022-01-01,8975.0000000000000000
2023-01-01,7300.0000000000000000
2024-01-01,.
