DATE,UNEMPLOYWA
2004-01-01,214050.000000000000
2005-01-01,189875.000000000000
2006-01-01,171575.000000000000
2007-01-01,163900.000000000000
2008-01-01,170350.000000000000
2009-01-01,268125.000000000000
2010-01-01,351425.000000000000
2011-01-01,342725.000000000000
2012-01-01,300350.000000000000
2013-01-01,256125.000000000000
2014-01-01,221025.000000000000
2015-01-01,204975.000000000000
2016-01-01,203525.000000000000
2017-01-01,177900.000000000000
2018-01-01,170675.000000000000
2019-01-01,174650.000000000000
2020-01-01,258800.000000000000
2021-01-01,269450.000000000000
2022-01-01,183475.000000000000
2023-01-01,163200.000000000000
2024-01-01,.
