DATE,UNEMPLOYWY
2004-01-01,10975.0000000000000000
2005-01-01,10225.0000000000000000
2006-01-01,10175.0000000000000000
2007-01-01,8750.0000000000000000
2008-01-01,8500.0000000000000000
2009-01-01,14525.000000000000
2010-01-01,20900.000000000000
2011-01-01,18100.000000000000
2012-01-01,17250.000000000000
2013-01-01,15100.000000000000
2014-01-01,13575.000000000000
2015-01-01,12625.000000000000
2016-01-01,15525.000000000000
2017-01-01,13950.000000000000
2018-01-01,12050.0000000000000000
2019-01-01,10675.0000000000000000
2020-01-01,14625.000000000000
2021-01-01,15775.000000000000
2022-01-01,10675.0000000000000000
2023-01-01,9550.0000000000000000
2024-01-01,.
